Part Number ,Description ,Type,Supplier name ,UOM ,,
ING002612,Poori Plain Mini Flat Pack 2x20gm Frozen,FROZEN,SNK Foods Ltd.,Each,,
ING002094,Cabbage Medu Wada 25gm,FROZEN,SNK Foods Ltd.,,,
ING002542,Corn Cutlet 50gm,FROZEN,SNK Foods Ltd.,,,
ING001120,Hara Bhara Jain (VJML),FROZEN,SNK Foods Ltd.,,,
ING001674,Aloo Bonda 40gm,FROZEN,SNK Foods Ltd.,,,
ING001675,Masala Dosa 40gm,FROZEN,SNK Foods Ltd.,,,
ING001676,Spinach Wada 25gm,FROZEN,SNK Foods Ltd.,,,
ING001683,Paratha Plain 40gm EA FS,FROZEN,SNK Foods Ltd.,,,
ING001788,Tomato Uttapam 25gm,FROZEN,SNK Foods Ltd.,,,
PACK000435,Tray White PET SC700 1P (Mindful Chef) Cs 1000,PACK,Southern Cross Packaging Ltd.,Each,,
PACK000460,Tray White PET SC17 2P Mindful Chef 375ea,PACK,Southern Cross Packaging Ltd.,Each,,
ING001403,Cheese Paneer Cubes Diced (20mm) 5kg,FRESH,Sugam Paneer UKAY KHOA MANUFACTURING LTD,Kg,,
ING001354,Cheese Paneer Grated 3kg,FRESH,Sugam Paneer UKAY KHOA MANUFACTURING LTD,Kg,,
ING001699,"Paneer Fingers (20mm x 40mm), 20gm 5 kg",FROZEN,Sugam Paneer UKAY KHOA MANUFACTURING LTD,,,
ING002404,Chicken Breast Diced 20mm IQF 5x2kg,FROZEN,The Food Fellas,Kg,,
ING002557,Chicken Breast Red Tikka Zig Zag 20-25mm IQF,FROZEN,The Food Fellas,Kg,,
ING000294,Spice Paprika Smoked Sweet 750gm,AMBIENT,The Fresh Olives (Belazu),Kg,,
ING000301,Rice Arborio Risotto 12 x 1kg,AMBIENT,The Fresh Olives (Belazu),Kg,,
ING002227,Paste Tomato Sundried Belazu 1.2kg,AMBIENT,The Fresh Olives (Belazu),Kg,,
ING002402,Olive Black Pitted Reduced Salt 5kg,AMBIENT,The Fresh Olives (Belazu),Kg,,
ING002430,Vinegar Balsamic Cooking 1 x 5Ltr,AMBIENT,The Fresh Olives (Belazu),Ltr,,
ING002472,Pesto Green Vegan Belazu 6 x 900gm,AMBIENT,The Fresh Olives (Belazu),Kg,,
ING002490,Chicken Thigh Skinless Boneless 50-70gm Cut in 4,FRESH,The Woodhouse Butchery,Kg,,
ING002412,Chicken Inner Fillets Free Range 60-70gm,FROZEN,Traditional Norfolk Poultry Ltd.,Kg,,
ING001969,Sausage Pork and Leek 75gm 2.72kg,FROZEN,Traditional Welsh Sausage Co Ltd,Kg,,
ING001725,Sausage Pork British 16s 1.36 kg Ea,MEAT,Traymoor Limited,Each,,
ING002011,Pork Diced 15-20mm kg,MEAT,Traymoor Limited,Kg,,
ING002219,Turkey Ballontine kg,,Traymoor Limited,Kg,,
ING002066,Puree Apricot IQF,FRESH,VALIMEX,Kg,,
PACK000309,WK056234 Grill Bag Brown Kraft 040BAG1K  310x105x40 600ea,PACK,W. K Thomas,,,
ING002669,Mead,AMBIENT,Waitrose Cellar <waitrosecellar@waitrose.co.uk>,,,
ING002531,Lentil Pasta Sheet Profusion 12x250gm,AMBIENT,Windmill Organics Ltd,Kg,,
PACK000215,SILVER DISPENSER PACK FOILS (WK069065) 6x500,PACK,WK Thomas,Each,,
PACK000500,White Box Cold Breakfast - 500 ea,PACK,WK Thomas,Each,,
PACK000142,WK071017 Paper Disc 130mm SVP 1000ea,PACK,WK Thomas,Case,,
PACK000318,WK035407 FOIL PIECES GOLD 10027/401 216X152MM 1000ea,PACK,WK Thomas,Case,,
PACK000451,WK071821 Carton Brown Leakproof Kraft No.3 180ea,PACK,WK Thomas,Each,,
PACK000501,No4 Kraft Brown Food boxes 160,PACK,WK Thomas,Case,,
PACK000106,"WK030276 Clear Square Bowl 175 ml, 600 Ea",PACK,Wk Thomas,,,
PACK000120,WK030275 Clear Lids DOM for 175ML Pots 300,PACK,Wk Thomas,,,
PACK000007,WK013105 P100 1oz Portion Pots solo 5000,PACK,Wk Thomas,,,
PACK00006,WK013110 PL1 1oz Portion Lid solo 5000,PACK,Wk Thomas,,,
ING000918,Paste Tomato W/W  2.2kg,AMBIENT,Woodward Food Services,Kg,,
ING000267,Vinegar White Wine 5Ltr,Ambient,Woodward Food Services,,,
ING001551,Bread White Medium Sliced (800GM / Ea),FROZEN,Woodward Food Services,Each,,
ING000073,Sauce Horseradish 2.27kg,AMBIENT,Woodward Food Services,,,
ING000120,Egg Whole Pasteurised Free Range 1kg,FRESH,Woodward Food Services,,,
ING000132,Yoghurt Strawberry Organic Yeo Valley 12 x 80gm,FRESH,Woodward Food Services,,,
ING000166,Egg Poached 1 x 48,AMBIENT,Woodward Food Services,,,
ING000229,Chicken Nuggets Jumbo 2.5KG,FROZEN,Woodward Food Services,,,
ING000366,Okra Fresh,FRESH,Woodward Food Services,,,
ING000706,Juice Orange 12 x 1ltr,AMBIENT,Woodward Food Services,,,
ING000739,Apricots Dried 3kg,AMBIENT,Woodward Food Services,,,
ING000770,Chutney Tomato 2.5kg,AMBIENT,Woodward Food Services,,,
ING000860,Pudding Loaf MW Chrismas 6 x1.25 kg,AMBIENT,Woodward Food Services,,,
ING000943,Oats Rolled 2kg,AMBIENT,Woodward Food Services,,,
ING000959,Compote Mixed Berry 1.25KG,FROZEN,Woodward Food Services,,,
ING001109,Butter Portions  size 7,AMBIENT,Woodward Food Services,Each,ING002696,Halal Chicken Sausage 16's IQF 1x4.54
ING001114,Sauce Tomato Ketchup Without Onion & Garlic 200ea,AMBIENT,Woodward Food Services,Each,,
ING001497,"Vegetable Mix Frozen (bean,broccoli) (Pinginn)(6 x 1.5KG)",FROZEN,Woodward Food Services,Kg,,
ING001556,Yoghurt Strawberry 12 x 85gm,FRESH,Woodward Food Services,Each,,
ING001708,Custard Ambrosia 12 x 1 Ltr.,AMBIENT,Woodward Food Services,Kg,,
ING001712,Chocolate Sauce 1 X 1 Ltr.,AMBIENT,Woodward Food Services,Kg,,
ING001715,Pasta Lasagne Italian Sheets 6x500g,AMBIENT,Woodward Food Services,Kg,,
ING002359,Breadcrumb Gluten Free,AMBIENT,Woodward Food Services,Kg,,
ING002587,Pork Belly Slowly Cooked 8 x 315gm,,Woodward Food Services,Each,,
ING002614,Fish White Finger Omega 3 120 x 25gm,FROZEN,Woodward Food Services,Each,,
ING002615,Potato Mash Instant Mix 2.5 kg,AMBIENT,Woodward Food Services,Kg,,
ING000356,Bread Naan Mini 30 x 40gm,FRESH,Woodward Food Services,,,
ING000173,Falafel Balls (Cs 40x1EA),FROZEN,Woodward Food Services,,,
ING001927,Pasta Macaroni Short Cut,AMBIENT,Woodward Food Services,Kg,,
ING002422,Paste Bouillion Vegetable Mirepoix stock Major 1x10kg,AMBIENT,Woodward Food Services,Kg,,
ING000005,Pasta Macaroni 3kg,AMBIENT,Woodward Food Services,Kg,,
ING000016,Dressing Caeser 2.27gm,AMBIENT,Woodward Food Services,Kg,,
ING000031,Juice Pineapple Sunpride 1 x 12Ltr,AMBIENT,Woodward Food Services,Ltr,,
ING000104,Cous Cous 1KG,AMBIENT,Woodward Food Services,Kg,,
ING000239,Salt Table 6kg,AMBIENT,Woodward Food Services,Kg,,
ING000246,Bouillon Chicken Major Stock Base 1kg,AMBIENT,Woodward Food Services,Kg,,
ING000248,Sugar Granulated 15 x 1kg,AMBIENT,Woodward Food Services,Kg,,
ING000271,Sugar Brown 3 x 3kg,AMBIENT,Woodward Food Services,Kg,,
ING000298,Olive Black Pitted 2.26kg,AMBIENT,Woodward Food Services,Kg,,
ING000321,Linguini dry (5kg),AMBIENT,Woodward Food Services,Kg,,
ING000364,Nut Almond Flaked  1kg,AMBIENT,Woodward Food Services,Kg,,
ING000480,Vinegar Red Wine,AMBIENT,Woodward Food Services,Ltr,,
ING000537,Flour Plain 6 x 1.5kg,AMBIENT,Woodward Food Services,Kg,,
ING000538,Cranberries Dried 1kg,AMBIENT,Woodward Food Services,Kg,,
ING000558,Bouillon Mushroom Stock Paste KNORR 2 x 1kg,AMBIENT,Woodward Food Services,Kg,,
ING000645,Breadcrumbs Japanese Panko 3.5 kg,AMBIENT,Woodward Food Services,Kg,,
ING000699,Mustard Dijon 2.5kg,AMBIENT,Woodward Food Services,Kg,,
ING000702,Seeds Pumpkin 1 x 550gm,AMBIENT,Woodward Food Services,Kg,,
ING000707,Wine White Cooking 10Ltr,AMBIENT,Woodward Food Services,Kg,,
ING000708,Oil Sesame 2 LTR,AMBIENT,Woodward Food Services,Ltr,,
ING000722,Breadcrumbs Natural 3.5kg,AMBIENT,Woodward Food Services,Kg,,
ING000783,Jelly Redcurrant 4 x 3kg,AMBIENT,Woodward Food Services,Kg,,
ING000784,Mustard Wholegrain 2.27Ltr,AMBIENT,Woodward Food Services,Ltr,,
ING000905,Sauce Tomato Ketchup 2.15kg,AMBIENT,Woodward Food Services,Kg,,
ING000933,Sauce Worcester12x150ml USE ING002122,AMBIENT,Woodward Food Services,Ltr,,
ING001001,Yeast Flake Engevita Nutri M/Gold 125gm,AMBIENT,Woodward Food Services,Kg,,
ING001212,Milk Semi Skimmed UHT Tetrapack 12 x 1L,AMBIENT,Woodward Food Services,Ltr,,
ING001315,Potato Smash Powder 2kg,AMBIENT,Woodward Food Services,Kg,,
ING001484,Tuna Chunks in Brine 800gm,AMBIENT,Woodward Food Services,Kg,,
ING001498,Vinegar Malt Distilled White 5 Ltr,AMBIENT,Woodward Food Services,Ltr,,
ING001602,Sauce Soy Dark Blue Dragon 4x2 Ltr,AMBIENT,Woodward Food Services,Ltr,,
ING001631,Bouillon Beef Major Stock powder 1kg,AMBIENT,Woodward Food Services,Kg,,
ING001662,Bouillion Vegetable 1 x 2.5kg,AMBIENT,Woodward Food Services,Kg,,
ING001717,Sauce Chipotle BBQ spicy 1x2.2Kg Brakes,AMBIENT,Woodward Food Services,Kg,,
ING001732,Sauce Bechamel Butter MacPhie 10Ltr,AMBIENT,Woodward Food Services,Ltr,,
ING001733,Sauce Demi Glace Thick Macphie 10Ltr,AMBIENT,Woodward Food Services,Kg,,
ING001761,Breadcrumb Panko Brakes 1x3.5kg,AMBIENT,Woodward Food Services,Kg,,
ING001785,Sauce Piri Piri Marinade Major 2x1.25ltr,AMBIENT,Woodward Food Services,Kg,,
ING001885,Bean Cannellini in water 6x2.62kg,AMBIENT,Woodward Food Services,Kg,,
ING001929,Bouillon Chicken paste Major 1kg,AMBIENT,Woodward Food Services,Kg,,
ING002044,Dressing Honey and Mustard 2.27ltr,AMBIENT,Woodward Food Services,Ltr,,
ING002045,Sauce Piccalilli 2.25kg,AMBIENT,Woodward Food Services,Kg,,
ING002058,Beans Baked Brakes 2.62kg,AMBIENT,Woodward Food Services,Kg,,
ING002063,Vinegar Rice Mikado 6 x 500ml,AMBIENT,Woodward Food Services,Ltr,,
ING002082,Paste Jerk Jamaican Knorr 1x1.5kg,AMBIENT,Woodward Food Services,Kg,,
ING002424,Juice Orange Still Carton Calypso 30 x 200ml AQJ67,AMBIENT,Woodward Food Services,Each,,
ING002426,Biscuits Mini Pack Brakes 100ea,AMBIENT,Woodward Food Services,Each,,
ING000127,Mayonnaise (REAL) 10LTR,FRESH,Woodward Food Services,,,
ING002399,Creme Fraiche Brakes 2kg,FRESH,Woodward Food Services,Kg,,
ING000074,Omelette Plain 24 x 100gm,FROZEN,Woodward Food Services,,,
ING000194,Potato Mash FZN 4 x 2.5kg,FROZEN,Woodward Food Services,,,
ING000201,Mixed Vegetables 4x2.5kg,FROZEN,Woodward Food Services,,,
ING000332,Duck Leg Confit 10ea x 220gm,FROZEN,Woodward Food Services,,,
ING000687,Hash Browns Brakes 2.5kg,FROZEN,Woodward Food Services,,,
ING001006,Carrot Chanteney FRZ 1kg,FROZEN,Woodward Food Services,Kg,,
ING001130,Bread Crispy Crumbled Vegetable Burgers 57g x  30ea,FROZEN,Woodward Food Services,Each,,
ING001511,Mediterranean Vegetable Mix 1kg,FROZEN,Woodward Food Services,Kg,,
ING001781,"Carrot, Swede and Potato Mash Fzn 2.5 kg",FROZEN,Woodward Food Services,Kg,,
ING001796,Potato Sliced saute FRZ 2.5kg,FROZEN,Woodward Food Services,Kg,,
ING001921,Okra Sliced 1kg,FROZEN,Woodward Food Services,Kg,,
ING002206,Potato Gratin Dauphinois Lutosa 2.5kg,FROZEN,Woodward Food Services,Kg,,
ING002400,Bean Green Whole Trimmed IQF,FROZEN,Woodward Food Services,Kg,,
ING002446,Ratatouille Vegetable Mix FRZ 4 x 1.5kg,FROZEN,Woodward Food Services,Kg,,
ING001368,Olives Black Sliced 2.35kg,AMBIENT,Woodward Food Services,,,
ING002113,Pasta Farfelle,AMBIENT,Woodward Food Services,,,
ING002629,French Dressing Brakes 1x2.27kg,AMBIENT,Woodward Food Services,,,
ING002656,La Boulangerie White Baguettes 1x40,FROZEN,Woodward Food Services,,,
ING000118,Egg Hard Boiled Peeled 48ea,AMBIENT,Woodward Food Services,,,
ING001787,Marinade Jerk BBQ Glaze Brakes 1x1.3kg,AMBIENT,Woodward Food Services,,,
ING002623,Cereal Bar Canadian Maple Nature Valley 18ea x 42gm Brakes,AMBIENT,Woodward Food Services,,,
ING000247,Sugar Caster 2 kg,AMBIENT,Woodward Food Services,,,
ING000279,Dark Chocolate 70% Callebout  1 x 2.5kg,AMBIENT,Woodward Food Services,,,
ING001604,Mint Sauce 2.27 Ltr,AMBIENT,Woodward Food Services,,,
ING000565,Noodles Egg Medium 4x250gm USE ING2121,AMBIENT,Woodward Food Services,,,
ING001425,"Halal Chicken Thigh RT, Skin & Bone On 110-140gm Each 1x25",MEAT,Woodward Food Services,,,
ING001923,Sausage Chicken 16's 1.36kg Halal,FROZEN,Woodward Food Services,,,
ING002049,Bread Brown Bloomer Sliced 800gm ea,FROZEN,Woodward Food Services,,,
ING002122,Worcester Sauce Lea & Perrins 2x2Ltr,AMBIENT,Woodward Food Services,,,
ING002696,Halal Chicken Sausage 16's IQF 1x4.54,FROZEN,Woodward Food Services,,,
ING002627,Breadcrumbs Gluten Freee brakes 1.5kg,AMBIENT,Woodward Food Services,,,
ING002658,M & J Seafood Salmon &Dill Fish Cakes,FROZEN,Woodward Food Services,,,
ING000773,Pomegranate molasses (Ea 12x500ML),AMBIENT,Woodward Food Services,,,
ING000995,Potato Gnocchi 3kg,AMBIENT,Woodward Food Services,,,
ING002657,Halal Chicken Wings Split,FROZEN,Woodward Food Services,,,
ING002573,Vegan Mayonnaise c/s 6 X 1ltr,AMBIENT,Woodward Food Services,,,
ING002702,"La Boulangerie 7.5"" Part Baked Malted Wheat Sandwich Baguett",FROZEN,Woodward Food Services,,,
ING002705,Bread Naan Mini 30 c/s x 40gm,FROZEN,Woodward Food Services,,,
ING002709,Stir Fry Oriental Vegetable Mix Pinguin FRZ kg,FROZEN,Woodward Food Services,,,
ING002235,Bacon Streaky Sliced Unsmoked 30gm 2.27kg,FROZEN,Woodward Food Services,,,
ING000960,Cornichon Gherkin (2.3KG/JAR),AMBIENT,Woodward Food Services,,,
ING001255,Bread Garlic & Parsley Slice 85 x 24gm,FROZEN,Woodward Food Services,,,
ING001331,Vol au Vent Medium 60mm 85ea,FROZEN,Woodward Food Services,,,
ING001430,Potato McCain CS Simply Wedge 2.5kg,FROZEN,Woodward Food Services,,,
ING001711,"Quiche Case 20-22gm each, 1 x 72 each",FROZEN,Woodward Food Services,,,
ING001922,Potato Croquettes 2.5kg,FROZEN,Woodward Food Services,,,
ING002659,Quorn Vegan Pieces,AMBIENT,Woodward Food Services,,,
ING001857,Yeast 42gm,AMBIENT,Woodward Food Services,,,
ING002725,Strong White Bread Flour 1x1.5kg,AMBIENT,Woodward Food Services,,,
ING002732,Thai Green Curry Paste Knorr Professional Blue Dragon 1.1kg,FROZEN,Woodward Food Services,,,
PACK000437,Film 250mm x 1400 metres 25OL12 MC (13.5kg per roll),PACK,Wrapid Manufacturing Ltd,Each,,
ING002092,Danish Apple & Raisin Wrapped Eggless 1ea,AMBIENT,,,,
ING002766,Crushed Tomatoes 10kg 90 c/s,AMBIENT,Gandhi Oriental foods,,,
ING002730,Vegan Mayonnaise 5 Ltrs,FRESH,Woodward Food Services,,,
ING000433,Pepper Yellow Whole 1KG,FRESH,Gradegold Catering,,,
ING000459,Peas Garden FRZ,Frozen,foodnet ,,,
ING001569,Paste Curry Green Mae Ploy (12Ltr x 1),AMBIENT,PK Trading Ltd,,,
ING001965,Beef Mince 85-90% VL Halal,MEAT,haloodies,,,
